EVENT_DATE,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,ACTOR2,ALLY_ACTOR_2,COUNTRY,ADM_LEVEL_1,ADM_LEVEL_2,SOURCE,NOTES,FATALITIES
3/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Bay,Baydhabo,Local Source Project,Unidentified gunmen opened fire on a woman's residence in Siliga in Berdaale neighbourhood (Baidoa) in the early morning of 03/04 after no one had showed up to open the door. The gunmen killed the woman together with her daughter. The reason for the killing is unknown but unconfirmed reports indicate the woman was a cook for the SWIA Security Minister. Another woman was shot and killed at the same time in the same neighbourhood by other unknown gunmen. The victim was said to be the chairperson for the neighbourhood's watch team. The perpetrators escaped and no arrest was made. ,2
4/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Military Forces of Somalia (2012-),,Somalia,Banaadir,Mogadisho,Local Source Project,A SNG soldier shot and killed his colleague at the MIA Civilian Gate (Wadajir/Medina District) in the morning of 04/04 following a dispute over unknown reasons. Other SNG soldiers in the area arrested the perpetrator. ,1
4/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified armed men with pistols shot and killed a SNG military officer at Former US Embassy Building area (Wadajir District) in the evening of 04/04. The reason for the killing is unclear and the perpetrators escaped. ,1
4/4/2015,Violence against civilians,Military Forces of Somalia (2012-),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A SNG soldier shot and killed a civilian man in Lami yaraha neighbourhood (Hodan District) in the midday of 04/04. The reason for the killing is unknown and the perpetrator escaped. ,1
4/4/2015,Battle-No change of territory,Military Forces of Jubaland (2013-),,Al Shabaab,,Somalia,Jubbada Hoose,Kismayo,Local Source Project,"A hand grenade thrown by suspected al Shabaab operatives, targeting the house of Jubaland police commissioner landed in a nearby civilian residence and injured a mother and her two daughters in Siinay section of Farjano neighbourhood (Kismaayo) in the evening of 04/04. The injured civilians were taken to Kismaayo hospital for treatments. No arrests were reported. ",0
4/4/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Marka,Local Source Project,Unidentified attackers hurled a hand grenade against AMISOM convoy in the vicinity of Sheikh Abrone neighbourhood (Marka) in the morning of 04/04. AMISOM forces opened fire after the blast. One civilian bystander was reportedly injured in the shooting.,0
5/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' base in Livestock Market neighbourhood (Heliwa District) in the evening of 05/04. The two sides exchanged gunfire briefly after that al Shabaab fighters withdrew. No casualties were reported. ,0
5/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Somalia (2012-),Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified attackers threw a hand grenade at a vehicle belonging to Waaberi DC near Waaberi Police station (Waaberi District) in the evening of 05/04.,0
5/4/2015,Battle-No change of territory,Police Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified attackers threw a hand grenade at Galbeed Police Station in Dharkeynley District in the evening of 05/04. The grenade exploded without causing casualties. The attackers managed to escape. ,0
5/4/2015,Battle-No change of territory,Military Forces of Puntland (1998-),,Al Shabaab,,Somalia,Bari,Bosaso,Local Source Project,Suspected al Shabaab fighters launched a hit-and-run attack against Puntland forces manning a check point near Karama 1 Hotel in Bosasso in the evening of the 05/04. The two sides exchanged gun fire briefly after which the attackers withdrew. Three soldiers reported wounded. ,0
5/4/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),Government of Puntland (1998-),Somalia,Bari,Bosaso,Local Source Project,Unidentified gunmen shot and injured the DC of Carmo and his sister in Carmo (205km S of Bosasso) in the evening of 05/04. The DC's body guard was killed in the attack. The motive of the attack is unknown but it is believed that the attackers were al Shabaab elements. The incident happened in the residence of the DC. ,1
5/4/2015,Violence against civilians,Habar Gedir-Ayr Sub-Clan Militia (Somalia),,Civilians (Somalia),Habar Gedir-Ayr Sub-Clan Group (Somalia),Somalia,Galguduud,Dhusamareeb,Local Source Project,"Unidentified gunmen opened fire at civilians in Gadoon Village (22km SE of Godinlabe), killing at least 3 people in the morning of 05/04. The motive of the attack is said to be clan revenge between within Habar Gidir/Ayr/Absiye sub-clans. ",3
5/4/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) (Kenya),,Al Shabaab,,Somalia,Gedo,Beled Hawo,Local Source Project,Kenyan war planes reportedly destroyed two al Shabaab positions Gaadondhowe Village (40km SE of Beled Xawo) on 05/04 in response to the Garissa University massacre. The destruction of the camps could not be independently confirmed. Al Shabaab later denied their destruction. ,0
5/4/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),Habar Jeclo-Soolomadaw Sub-Clan Group (Somalia),Military Forces of Somaliland (1991-),Habar Yoonis-Cali Siciid Sub-Clan Group (Somalia),Somalia,Sool,Lascaanod,Local Source Project,A Somaliland army officer from Habar Jeclo/Soolamadaw sub-clan killed his colleague and injured another in a Somaliland army base in Gambadha Village (28km E of Laas Caanood) in the morning of 05/04 following an escalated dispute. The victims hail from Habar Yonis/Cali Siciid. The perpetrator was arrested and transferred to Burco. ,1
6/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified attackers threw a hand grenade at SNG soldiers manning a checkpoint at Florence Junction (Wardhiigley District) in the evening of 06/04. No casualties were reported and the attackers escaped. ,0
6/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' outpost at the former Eimiska building (Yaaqshiid District) in the night of 06/04. Two sides exchanged gunfire briefly but no casualties were reported. Al Shabaab fighters also carried out a hit-and-run attack against SNG forces' base at the former Pasta Factory (Yaaqshiid District) in the night of 06/04. The two sides exchanged gunfire briefly but casualties could not be established. ,0
6/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,An unidentified gunman shot and killed an elderly man in Afarta Darjiino Junction (Yaaqshiid District) in the evening of 06/04. The reason for the killing is unknown. The victim had been involved in a land dispute with another person and the regional court ruled in his favour recently. The perpetrator escaped. ,1
6/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Suspected al Shabaab fighters launched a hit-and-run attack against SNG forces' base in Al-Baraka neighbourhood (Hodan District) in the evening of 06/04. The two sides exchanged gunfire briefly. Casualties from both sides could not be established.,0
6/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified men armed with pistols shot and killed two people (civilians) in Al-Baraka neighbourhood in Hodan District in the evening of 06/04. The reason for the killing remains unclear and the perpetrators escaped. ,2
6/4/2015,Battle-No change of territory,Majeerteen-Omar Mahmud Sub-Clan Militia (Somalia),,Majeerteen-Omar Mahmud Sub-Clan Militia (Somalia),,Somalia,Mudug,Gaalkacayo,Local Source Project,Armed men from Rer Mahad and Rer Qalaf (who are both Umar Mohamud-Majerteen Clan) clashed  over the ownership of a parcel of land in an area close to Warshad Kaabka in Galkacyo north on 06/04. One combatant was killed and two others injured. Puntland police intervened and managed to disperse the two sides. ,1
6/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Nugaal,Garoowe,Local Source Project,Two INGO staff members were stabbed and injured by a civilian man using a dagger over alleged land dispute in Garowe in the morning of 06/04. No arrests were made in connection with the incident but the police are searching the perpetrator. ,0
6/4/2015,Riots/Protests,Protesters (Somalia),,,,Somalia,Sanaag,Ceel-Afwein,Local Source Project,A group of people staged a peaceful demonstration in front of Ceel-Afweyn court on 06/04 to express their anger against the regular postponement of cases against local youths. The demonstrators were mostly parents of the detained youths from Habar-Jeclo/Biciide sub-clan and Habar-Yunis/Sacad Yonis sub-clan following clashes between rival youth gangs. ,0
6/4/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) ,,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,RCIED targeted an AMISOM convoy in the vicinity of Baar Ismail checkpoint (Afgooye) in the morning of 06/04. AMISOM forces opened gunfire after the blast. Another IED was found near the scene of the blast and was later disabled. ,0
7/4/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified armed men with pistols shot and killed an assistant engineer working as a third party contractor for a UN agency and injured his driver in Xamar Bile neighbourhood (Wardhiigleey District) in the morning of 07/04. The perpetrators escaped. Al Shabaab claimed responsibility for the attack on 08/04. The only justification given by al Shabaab for the attack was the fact that the victim was a member of Banadir regional administration. ,1
7/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' position in Gubta neighbourhood (Dayniile District) in the evening of 07/04. The two sides exchanged gunfire for few minutes after which the attackers withdrew. Casualties could not be established. ,0
7/4/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),,Al Shabaab,,Somalia,Galguduud,Ceel Buur,Radio Andalus ,"On 7 April, [al Shabaab] forces in Galgaduud region heavily attacked bases belonging to Ethiopian forces in Ceelbuur town. Reports say that [al Shabaab] inflicted heavy casualties (numbers not known) on the enemy forces. Radio Andalus is pro al Shabaab. ",10
7/4/2015,Battle-No change of territory,Military Forces of Jubaland (2013-),,Al Shabaab,,Somalia,Jubbada Hoose,Kismayo,Local Source Project,Jubaland forces launched a hit-and-run attack against al Shabaab fighters in Turqata Village (20km W of Kismaayo) in the afternoon of 07/04. Two al Shabaab fighters were killed in the clash. Jubaland forces seized two AK 47 rifles belonging to the two al Shabaab fighters. ,2
7/4/2015,Riots/Protests,Protesters (Somalia),Military Forces of Puntland (Darawish) (1998-),,,Somalia,Jubbada Hoose,Kismayo,Local Source Project,Jubaland Darawish forces staged a peacefully demonstration in protest over salary non-increment in Kismaayo in the morning of 07/04. The Darawish forces have been demanding increment since the beginning of this year. The soldiers refused to collect their March salary. ,0
7/4/2015,Remote violence,Unidentified Armed Group (Somalia),,Private Security Forces (Somalia),Government of Puntland (1998-),Somalia,Mudug,Gaalkacayo,Local Source Project,"An IED targeted the second deputy governor of Mudug Region, Ahmed Muse Nuur, behind Galkacyo Hospital in Galkacyo North in the morning of 07/04. His body guards opened fire after the blast. The deputy governor and seven others were injured in the explosion. There was a second explosion that seemingly targeted curious residents who milled around the incident scene. One person was injured in the second blast. The perpetrators managed to escape. ",0
7/4/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) ,,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,A RCIED supposedly targeting an AMISOM convoy exploded in the vicinity of Ceel Saliini Village (32km SW of Afgooye) in the morning of 07/04 and missed the target. No casualties were reported. The perpetrators escaped. ,0
7/4/2015,Violence against civilians,Habar Jeclo-Soolomadaw Sub-Clan Militia (Somalia),,Civilians (Somalia),Dhulbahante-Barkad Sub-Clan Group (Somalia),Somalia,Togdheer,Buuhoodle,Local Source Project,"A gunman from Habar Jeclo/Soolamadaw sub-clan shot and killed a man from Dhulbahante/Barkad sub-clan near Qorilugud Village (38km NW of Buuhoodle) on 07/04 after suspecting the man of being on spying mission. However, reports indicate that the victim was mentally ill. The perpetrator escaped. The killing caused tension between Habar Jeclo and Dhulbahante sub-clans in area with both sub-clans mobilizing their militias. The murder comes at a time when there were ongoing talks between the two sub-clans with a view of ending the sporadic revenge killings between the two sides. ",1
8/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces based in Cabdi Waayeel Cinema (Heliwa District) in the night of 08/04. The fighting lasted for almost fifteen minutes after which the attackers withdrew. Casualties could not be established. ,0
8/4/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified attackers armed with pistols shot and killed a woman in Billaajo Carab neighbourhood (Shibis District) in the afternoon of 08/04. The victim was reportedly working with the local district administration. The perpetrators escaped.  Al Shabaab later claimed responsibility for the attack.  ,1
8/4/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) ,,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A RCIED was targeted against AMISOM convoy in the vicinity of Garasbaaley (Hodan District) in the evening of 08/04. The RCIED hit one of the AMISOM vehicles. AMISOM forces opened gunfire after the blast. Casualties could not be established. The perpetrator(s) escaped. ,0
8/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Unidentified men armed with pistols shot and killed a SNG soldier in Dhagaxtuur neighbourhood (Afgooye) in the evening of 08/04. The perpetrators escaped. ,1
8/4/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),,Dhulbahante-Farah Ali Sub-Clan Militia (Somalia),,Somalia,Togdheer,Buuhoodle ,Local Source Project,"A Dhulbahante armed group loyal to Mohamed Farah Aden, the former Puntland minister of fisheries, who recruited locals and mining experts to explore minerals exchanged gunfire with Somaliland forces in a mountain near Carro Weyne village (45km NE of Buuhoodle) on 08/04. The former minister and his team refused to surrender to Somaliland forces who were attempting to stop the exploration activities. The former minister and four of his team were arrested while a man from Dhulbahante/Barkad sub-clan was injured and later succumbed to his injuries in Laas Caanood. Local elders have stepped to try to secure the release of the former minister. ",0
8/4/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),,Private Security Forces (Somalia),Government of Puntland (1998-),Somalia,Togdheer,Buuhoodle,Local Source Project,Somaliland troops based in Widh Widh (48km NE of Buuhoodle) exchanged gunfire with former Puntland minister of fisheries in accompany of armed men. The forces later managed to arrest the Ex-minister and three of his men on 08/04. ,0
9/4/2015,Violence against civilians,Military Forces of Somalia (2012-),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,"A SNG soldier opened gunfire at a mini-bus at Ex-Control Afgooye in the afternoon of 09/04, killing one passenger (male) in the afternoon of 09/04. The reason for the shooting remains unclear and the perpetrator was arrested by SNG forces in the area but was released later. ",1
10/4/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),Rahanweyn-Luwaay Sub-Clan Group (Somalia),Somalia,Bakool,Xudur,Local Source Project,Al Shabaab fighters beheaded two elders (between 80 and 90 years-old) from of Rahaweyn/Luweys sub-clans in Hunyaley Village (13km E Xudur) in the night of 11/04. The al Shabaab executed the elders after accusing them of working with the apostate administration (referring to ISWA administration in Xudur). ,2
10/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,A local journalist working for Radio Mogadishu Website was shot and injured by unidentified men armed with pistols near KPP Junction (Hodan District) in the evening of 10/04. ,0
11/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' outpost in the vicinity of Mahad Alle Car Wash in Yaaqshiid District in the evening of 11/04. The two sides briefly exchanged gunfire after which the al Shabaab fighters withdrew. Casualties numbered two (Alldhacdo). ,2
11/4/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Somalia (2012-),Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified men armed with Pistols shot and killed two SNG Mogadishu municipality tax policemen in Suuq Bacaad Market (Yaaqshiid District) in the morning of 11/04 and escaped. ,2
11/4/2015,Remote violence,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Somalia (2012-),Somalia,Banaadir,Mogadisho,Local Source Project,At least six mortars fired from unknown location targeting the former Defence Ministry landed near the former Guulwadayasha base and the Ministry in Dayniile District in the evening of 11/04. Initial reports indicate that three civilians were killed and seven others wounded in Guulwadayasha neighbourhood in the mortar attack. ,3
11/4/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) ,,Al Shabaab,,Somalia,Shabeellaha Hoose,Baraawe,Local Source Project,AMISOM forces attacked al Shabaab fighters near Wareer Maleh Village (39km NE of Baraawe) in the morning of 11/04. One al Shabaab fighter was killed in the clash. The AMISOM forces seized nine sets of SNG army uniforms. ,1
12/4/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) ,Military Forces of Somalia (2012-),Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Two RCIED explosions took place at Dayniile Junction in the vicinity of the former Jaale Siyad Military Academy (Dayniile District) in the morning of 12/04. The explosions happened just after a AMISOM/SNG military convoy guarding the SNG president passed the area. No casualties were reported and the perpetrators managed to escape from the scene. The president was travelling to Dayniile to attend a ceremony marking the 55th anniversary of Somali army at the former Defence Ministry. ,0
12/4/2015,Remote violence,Al Shabaab,,Civilians (Somalia),Government of Somalia (2012-),Somalia,Banaadir,Mogadisho,Local Source Project,At least four Mortar rounds fired from unknown location landed inside the ministry of defence compound (Dayniile District) in the morning of 12/04. A ceremony to mark the Somali National Army Day Anniversary was taking place in the Compound when the mortar rounds landed. No casualties were reported. Al Shabaab claimed the responsibility of the attack through Somalimemo.net. ,0
12/4/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),Government of Somalia (2012-),Somalia,Gedo,Beled Hawo,Local Source Project,Al Shabaab fighters attack residence of the District Commissioner of Beled Xawo (12/04). Further details of the attack not known. ,0
12/4/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),Warsangeli-Reer Garaad Sub-Clan Group (Somalia),Military Forces of Somaliland (1991-),Warsangeli-Dubays Sub-Clan Group (Somalia),Somalia,Sanaag,Ceerigaabo ,Local Source Project,A Somaliland soldier from Warsangeli/Reer garad Sub-clan shot and killed his commander from Warsangeli/Dubays in Ceel-Buh Village (112km SE of Ceerigaabo) in the morning of 12/04 following a dispute of the soldier's salary payment. The soldier was immediately arrested by other Somaliland soldiers. ,1
12/4/2015,Battle-No change of territory,Military Forces of Somalia (2012-),Government of Somalia (2012-),Al Shabaab,,Somalia,Shabeellaha Hoose,Qoryooley,Local Source Project,Suspected al Shabaab fighters attacked a hotel in Qoryooley town where the governor of Lower Shabelle had been staying in the night of 12/04. The guards of the governor engaged in a 30-minute shoot-out with the attackers. One of the governor's guards was killed and four others wounded in the fighting. Al Shabaab casualties could not be established. ,1
13/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces based in S. Company Building (Heliwa District) in the evening of 13/04. The two sides engaged in a brief gunfire after which the al Shabaab fighters withdrew. One SNG soldier was reportedly killed in the clash while three others were injured. ,1
13/04/2015,Violence against civilians,Military Forces of Somalia (2012-),,Civilians (Somalia),,Somalia,Bay,Baydhabo,Local Source Project,Security guards for the Public works and housing deputy Minister of ISWA (Interim South West Administration) shot and killed a civilian man (a wheelbarrow porter) in Horseed neighbourhood (Baidoa) in the morning of 13/04. The reason for the killing remains unknown and no arrests were reported.,1
13/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces at a checkpoint in Cumar Beere (9km NW of Marka) in the night of 13/04. Both sides exchanged gunfire briefly after which the attackers withdrew. Casualties are unknown. ,0
13/04/2015,Remote violence,AMISOM: African Union Mission in Somalia (2007-) ,,Unidentified Armed Group (Somalia),,Somalia,Shabeellaha Hoose,Marka,Local Source Project,A RCIED exploded in the vicinity of Ceel-Wareegow village (11km NE of Marka) in the morning of 13/04. An AMISOM convoy heading to Mogadishu was passing the road when the incident happened. No casualties or vehicle damages were reported.,0
14/04/2015,Battle-No change of territory,Police Forces of Somalia (2012-),Government of Somalia (2012-),Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,"Four suspected al Shabaab fighters dressed in SNG forces uniform carried out a complex attack on the Ministry of Culture and Higher Education compound near Zobe Junction (Hodan District) on 14/04. There was a suspected SVBIED explosion at the gate followed by armed men storming the building. The attackers threw hand grenades and exchanged gunfire with SNG police guarding the compound. NISA's Gaashan unit and AMISOM forces immediately arrived at the scene and engaged in gun battles with the attackers. Initial reports indicate that about 11 people, including two police officers and the attackers, have been killed. Al Shabaab has claimed responsibility for the attack. Among the injured was a Chinese diplomat. Later reports hold a total of 21 dead; six security operatives and 15 civilians (Xinhua).",21
14/04/2015,Battle-No change of territory,Military Forces of Puntland (1998-),,Al Shabaab,,Somalia,Bari,Bosaso,Local Source Project,Puntland forces and al Shabaab fighters reportedly clashed in Galgala village (35km SW of Bosasso) in the evening of 15/04. Reports indicate that the fighting was initiated by al fighters and lasted for around 45 minutes after which the al Shabaab fighters withdrew. No casualties were reported. ,0
14/04/2015,Battle-No change of territory,Hawadle Clan Militia (Somalia),,Private Security Forces (Somalia),,Somalia,Hiiraan,Beledweyne ,Local Source Project,Xawadle militia exchange gunfire with security personnel at a private construction site of a sports stadium in Ceel Jaale neighbourhood in Beled Weyne on 14/04 following a land ownership dispute between the local authority and the Xawadle militia. Xawadle militia decided to stop the construction using by force. No casualties were reported but the construction is suspended until the problem is solved. ,0
14/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' checkpoint in War Mahan Village (30km NW of Afgooye) in the evening of 14/04. Both groups engaged in a brief exchange of gunfire after which the attackers withdrew. No casualties were reported. ,0
15/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched hit-and-run attack against NISA base in Sarta Qabyada building (Yaaqshiid District) in the night of 15/04. Both sides exchanged gunfire briefly after which the attackers withdrew. Casualties are unknown. ,0
15/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Banaadir,Mogadisho,Local Source Project,Al Shabaab fighters launched hit-and-run attack against NISA base in Sarta Qabyada building (Yaaqshiid District) in the night of 15/04. Both sides exchanged gunfire briefly after which the attackers withdrew. Casualties are unknown. ,0
15/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces based in Ceelasha Biyaaha (12km SE of Afgooye) in the night of 15/04. Casualties are unknown. ,0
16/04/2015,Riots/Protests,Rioters (Somalia),,,,Somalia,Galguduud,Cadaado,Radio Simba ,"Reports from Cadaado town, the HQ of the Ximin and Xeeb state, say large protests are going on there against plans to have Dhuusamareeb the [new] capital of the central regions. The protests are ongoing at the Ximin and Xeeb presidential HQ with hundreds of angry people stoning the HQ building.",0
16/04/2015,Violence against civilians,Majeerteen-Omar Mahmud Sub-Clan Militia (Somalia),,Civilians (Somalia),Habar Gedir-Sa'ad Sub-Clan Group (Somalia),Somalia,Mudug,Galkacyo,Local Source Project,Militiamen hailing from Majeerteen/Omar Mohamud sub-clan shot and killed a pastoralist hailing from Habar Gidir/Sa'ad sub-clan near Gamafole Village (55km NE of Galkacyo) in the evening of 16/04. The incident was reportedly in revenge for previous killings between the two sides. ,1
16/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Dhexe,Mahaday ,Local Source Project,Suspected al Shabaab fighters launched a hit and run attack against SNG forces based in Mahadaay (12km NE of Jowhar) in the night of 16/04. A girl was hit and injured by a stray bullet. No other casualties were reported. ,0
16/04/2015,Battle-No change of territory,Military Forces of Somaliland (1991-),,Khatumo Regional Militia (Somalia),,Somalia,Sool,Lascaanod,Local Source Project,Khatumo forces carried out a hit-and-run attack against the Somaliland forces based in Kalabaydh Village (30km S of Laas Caanood) in the evening of 16/04. The Somaliland forces responded with artillery fire after which the Khatumo forces withdrew. No casualties were reported. ,0
17/04/2015,Battle-No change of territory,Police Forces of Puntland (1998-),,Al Shabaab,,Somalia,Bari,Bosaso,Local Source Project,Suspected al Shabaab fighters and Puntland police manning Baalade police station in Bosasso clashed in the evening of 17/04. The fighting was initiated by the al Shabaab fighters who attacked the police station. The two sides exchanged fire for about 20 minutes after which the attackers withdrew. The station's deputy police commander was injured in the clash. ,0
17/04/2015,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Ethiopia),,Al Shabaab,,Somalia,Bay,Baidoa,Local Source Project,Al Shabaab fighters and ENDF clashed near Korow-Rooge Village (15km SE of Baidoa) in the morning of 17/04. The fighting started after al Shabaab fighters ambushed an ENDF military convoy travelling between Daynuunay Village and Baidoa town. Casualties could not be established.,0
17/04/2015,Violence against civilians,Unidentified Armed Group (Somalia),,Civilians (Somalia),Government of Puntland (1998-),Somalia,Jubbada Hoose,Kismayo,Local Source Project,"Unidentified attackers threw a hand grenade at the residence of the Jubaland's health minister in Waamo section of Farjano neighbourhood (Kismaayo) in the evening of 17/04. The bomb landed in an open area, injuring one of the security guards of the minister. The attackers escaped. ",0
17/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Shabeellaha Hoose,Afgooye,Local Source Project,Al Shabaab fighters launched a hit-and-run attack against SNG forces' base in Siinka Dheer (Afgooye District) in the night of 17/04. The fighting went for about an hour after which the al Shabaab fighters withdrew. Casualties could not be established. ,0
18/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bakool,Xudur,Local Source Project,SNG forces on security operation shot and killed an al Shabaab sympathizer in Qaydar Edi Village (27km NW of Xudur) in the afternoon of 18/04. The SNG forces later returned to their base in Xudur. ,1
18/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Al Shabaab,,Somalia,Bakool,Wajid,Local Source Project,SNG forces arrested a suspected al Shabaab operative in Waajid in the afternoon of 18/04. The suspect managed to escape from the police during but was immediately shot dead before going far. ,1
18/04/2015,Battle-No change of territory,Military Forces of Somalia (2012-),,Unidentified Armed Group (Somalia),,Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified armed men shot and killed two SNG soldiers in Sei-Biano neighbourhood (Hodan District) in the night of 18/04. The perpetrators escaped. ,2
18/04/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),Government of Puntland (1998-),Somalia,Banaadir,Mogadisho,Local Source Project,Unidentified armed men in car shot and killed a Puntland state MP in front of his house in Taleex neighbourhood (Hodan District) in the midday of 18/04. The reason for the shooting remains unclear and the perpetrators escaped. ,1
18/04/2015,Violence against civilians,Al Shabaab,,Civilians (Somalia),Rahanweyn-Harin Sub-Clan Group (Somalia),Somalia,Bay,Baydhabo,Local Source Project,Al Shabaab fighters picked a civilian a woman from her house in Goof Gaduud Village (30km NW of Baidoa) and beheaded her in the outskirt of the village in the night of 18/04. The reason for the killing remains unclear. The victim hails from Rahaweyn/Harin sub-clan. ,1
